2025-03-21 at 13:51:22 | INFO | Пользователь ('Kitty', 1623512848), запустил бота
2025-03-21 at 13:51:22 | INFO | NOT NULL constraint failed: hacker.name
2025-03-21 at 13:52:01 | INFO | Пользователь ('Kitty', 1623512848), запустил бота
2025-03-21 at 13:52:01 | INFO | NOT NULL constraint failed: hacker.name
2025-03-21 at 13:52:57 | INFO | Пользователь ('Kitty', 1623512848), запустил бота
2025-03-21 at 13:52:57 | INFO | NOT NULL constraint failed: hacker.name
2025-03-21 at 13:53:31 | INFO | Пользователь ('Kitty', 1623512848), запустил бота
2025-03-21 at 13:53:31 | INFO | NOT NULL constraint failed: hacker.name
2025-03-21 at 13:58:20 | INFO | Пользователь ('Kitty', 1623512848), запустил бота
2025-03-21 at 13:58:20 | INFO | NOT NULL constraint failed: hacker.name
2025-03-21 at 13:59:01 | INFO | Пользователь ('Kitty', 1623512848), запустил бота
2025-03-21 at 14:00:04 | INFO | Пользователь ('Kitty', 1623512848), запустил бота
2025-03-21 at 14:00:04 | INFO | Пользователь Kitty (1623512848) добавлен в базу данных.
